domains,cse
sbi.co.in,State Bank of India (SBI)
onlinesbi.sbi.bank.in,State Bank of India (SBI)
retail.sbi.bank.in/retail/login.htm,State Bank of India (SBI)
sbilife.co.in,State Bank of India (SBI)
corp.onlinesbi.sbi/corporate,State Bank of India (SBI)
sbimf.com,State Bank of India (SBI)
sbicard.com,State Bank of India (SBI)
homeloans.sbi,State Bank of India (SBI)
sbisecurities.in,State Bank of India (SBI)
sbi.bank.in,State Bank of India (SBI)
pnb.bank.in,Punjab National Bank (PNB)
pnbindia.in/home.html,Punjab National Bank (PNB)
netpnb.com,Punjab National Bank (PNB)
pnbint.com,Punjab National Bank (PNB)
bankofbaroda.bank.in,Bank of Baroda
onlinecasa.bankofbaroda.com,Bank of Baroda
hdfc.bank.in/nri-banking,HDFC Bank
netbanking.hdfcbank.com/netbanking/,HDFC Bank
hdfc.com,HDFC Bank
hdfclife.com,HDFC Bank
hdfcfund.com,HDFC Bank
icici.bank.in,ICICI Bank
icicicareers.com,ICICI Bank
icicidirect.com,ICICI Bank
iciciprulife.com,ICICI Bank
icicisecurities.com,ICICI Bank
icicilombard.com,ICICI Bank
retailnetbanking.icici.bank.in,ICICI Bank
infiniti.icicibank.com,ICICI Bank
rebit.org.in,Reserve Bank of India (RBI)
rbi.org.in,Reserve Bank of India (RBI)
axis.bank.in,Axis Bank
axismf.com,Axis Bank
axismaxlife.com,Axis Bank
bseindia.com,BSE Ltd.
bsestarmf.in,BSE Ltd.
canarabank.com,Canara Bank
canarabank.bank.in,Canara Bank
canararobeco.com,Canara Bank
canarahsbclife.com,Canara Bank
camsonline.com,Computer Age Management Services Ltd. (CAMS)
indusind.bank.in,IndusInd Bank
kfintech.com,Kfintech
idfcfirst.bank.in,IDFC FIRST Bank
idfcfirstbank.com,
incometax.gov.in,Income Tax Department
incometaxindiaefiling.gov.in,Income Tax Department
contents.tdscpc.gov.in,Income Tax Department
incometaxindia.gov.in,Income Tax Department
crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)"
nic.gov.in,National Informatics Centre (NIC)
kavach.mail.gov.in,National Informatics Centre (NIC)
authwebmail.nic.in,National Informatics Centre (NIC)
accounts.mgovcloud.in,National Informatics Centre (NIC)
cloud.gov.in,National Informatics Centre (NIC)
uidai.gov.in,"Unique Identification Authority of India (UIDAI)
"
eci.gov.in,Election Commision of India (ECI)
nha.gov.in,National Health Authority (NHA)
abdm.gov.in,National Health Authority (NHA)
aiims.edu,All India Institute of Medical Sciences (AIIMS)
aiimsexams.ac.in,All India Institute of Medical Sciences (AIIMS)
iocl.com,Indian Oil Corporation Limited (IOCL)
indianoilcgd.com,Indian Oil Corporation Limited (IOCL)
coalindia.in,Coal India
coalindiatenders.nic.in,Coal India
isro.gov.in,Indian Space Research Organisation (ISRO)
sac.gov.in,Indian Space Research Organisation (ISRO)
iirs.gov.in,Indian Space Research Organisation (ISRO)
nrsc.gov.in/nrscnew,Indian Space Research Organisation (ISRO)
vssc.gov.in,Indian Space Research Organisation (ISRO)
indiascienceandtechnology.gov.in,Indian Space Research Organisation (ISRO)
airtel.in,Airtel
airtelpayments.bank.in,Airtel
jio.com,Jio
bsnl.co.in,Bharat Sanchar Nigam Limited (BSNL)
portal.bsnl.in,Bharat Sanchar Nigam Limited (BSNL)
myvi.in,Vodafone Idea (VI)
irctc.co.in,Indian Railway Catering and Tourism Corporation (IRCTC)
irctctourism.com,Indian Railway Catering and Tourism Corporation (IRCTC)
airindia.com,Air India
airindiaexpress.com,Air India
parivahan.gov.in,parivahan sewa
rajasthan.census.gov.in,Rajasthan
dc.crsorgi.gov.in,CRSR Portal
tran.census.gov.in,TRAN 
dev.crsorgi.gov.in,Dev CRS
uatbooks.census.gov.in,UAT BOOKS 
uatdco.census.gov.in/kerala,Kerala
uatdco.census.gov.in,Uat Intranet
uatdco.census.gov.in,UAT DCO 
karnataka.census.gov.in,Karnataka
westbengal.census.gov.in,Westbengal
maharashtra.census.gov.in,Maharashtra
jharkhand.census.gov.in,Jharkhand
odisha.census.gov.in,Odisha
mp.census.gov.in,MP
tn.census.gov.in,Tamilnadu
assam.census.gov.in,Assam
haryana.census.gov.in,Haryana
gujarat.census.gov.in,Gujarat
uatsrs.census.gov.in,UAT SRS
language.census.gov.in,LANGUAGE
chandigarh.census.gov.in,Chandigarh
uat-api.census.gov.in,UAT-CENSUS-API
api.census.gov.in,Census-API
ana.crsorgi.gov.in,ana crs
pbr.census.gov.in,Pbr-Census
censussahayak.census.gov.in,Censussahayak
punjab.census.gov.in,Punjab
dev-api.census.gov.in,Dev-api
devtran.census.gov.in,Translitration
infrandc.census.gov.in,Uat Far
test.census.gov.in,Test Census 
tracker.census.gov.in, Census Tracker
cats.census.gov.in,CATS 
prod.census.gov.in,Pord Census
census-test.census.gov.in,Test Census 
load.census.gov.in,Load Census
orgi-sparrow.gov.in,Sparrow
census.gov.in,CMMS 
failover.census.gov.in,FailOver
se.census.gov.in,SE CENSUS
apidel.census.gov.in,apidel
map.census.gov.in,MAP
vaptapi.census.gov.in,VAPT API
dchb.census.gov.in,dhcb
VS_cmms.census.gov.in,CMMS 
crsorgi.gov.in,CRS
srs.census.gov.in,SRS
sedel.census.gov.in,Sedal
Apilko.census.gov.in,LKO-API
epurti.census.gov.in,EPURTI 
books.census.gov.in,books Library 
intranet.census.gov.in,Interanet
censusindia.gov.in,CENSUS INDIA 
npr.gov.in,npr
se.npr.gov.in,SE NPR Portal 
APIDEL.CENSUS.GOV.IN,DEL-API
geoportal.Census.gov.in,Geo Portal
uatcensusindia.gov.in,NEW CENSUS
api.crsorgi.gov.in,CRS-API
uat.crsorgi.gov.in,UAT CRS
uatcrsapi.census.gov.in,UAT-CRS-API
