domain,html_dom_hash,hash_algorithm,status,final_url
abdm.gov.in,2900f669af515fd8,simhash64,success,https://abdm.gov.in
accounts.mgovcloud.in,ee19384b32f2fdd9,simhash64,success,https://accounts.mgovcloud.in
aiims.edu,74d6dfabc51606db,simhash64,success,https://aiims.edu/index.php/en
aiimsexams.ac.in,8628c4c4b944e797,simhash64,success,https://aiimsexams.ac.in
airindia.com,,simhash64,fetch_failed,http://airindia.com
airindiaexpress.com,6e72a4be242e7c4c,simhash64,success,https://www.airindiaexpress.com/home
airtel.in,7387c1e12eeee5f7,simhash64,success,https://www.airtel.in/
airtelpayments.bank.in,65b944aebdce6389,simhash64,success,https://www.airtelpayments.bank.in/
ana.crsorgi.gov.in,c5726a4108131cbe,simhash64,success,https://ana.crsorgi.gov.in/bi-security-login/login.jsp?msi=false&mt=false&profileMust=true&redirect=L2FuYWx5dGljcy9zYXcuZGxsP2JpZWVob21lJnN0YXJ0UGFnZT0xJmhhc2g9NWZCSXZmTDMxUVl0V0hLajBqaGR1aTg1THlFSFJHMEc0QnI5NmF0VmtXSHJLeW5uRUR1a3pGMXNwNE5JQ2JtVQ==
api.census.gov.in,,simhash64,fetch_failed,http://api.census.gov.in
api.crsorgi.gov.in,648b4a7b3d30333b,simhash64,success,https://api.crsorgi.gov.in/devportal/
apidel.census.gov.in,,simhash64,fetch_failed,http://apidel.census.gov.in
apilko.census.gov.in,,simhash64,fetch_failed,http://apilko.census.gov.in
assam.census.gov.in,b6efe8c0e0247ed1,simhash64,success,https://assam.census.gov.in
authwebmail.nic.in,,simhash64,fetch_failed,http://authwebmail.nic.in
axis.bank.in,20f183dea0e64238,simhash64,success,https://www.axis.bank.in/
axismaxlife.com,,simhash64,fetch_failed,http://axismaxlife.com
axismf.com,3e286115c8f057b6,simhash64,success,https://www.axismf.com/
bankofbaroda.bank.in,6ef9827f886266b3,simhash64,success,https://bankofbaroda.bank.in
books.census.gov.in,b3c7f3c645e69e92,simhash64,success,https://books.census.gov.in
bseindia.com,d15575dc9cd5dd0a,simhash64,success,https://www.bseindia.com/
bsestarmf.in,5b586d4d90ebb2f4,simhash64,success,https://bsestarmf.in/index.aspx
bsnl.co.in,f3d13ee4a845fab6,simhash64,success,https://bsnl.co.in
camsonline.com,a0f25fdf25f05641,simhash64,success,https://www.camsonline.com/
canarabank.bank.in,a0bddaf230632729,simhash64,success,https://www.canarabank.bank.in/
canarabank.com,,simhash64,fetch_failed,http://canarabank.com
canarahsbclife.com,2f7e0b9e34e21333,simhash64,success,https://www.canarahsbclife.com/
canararobeco.com,2ce94ac199b663e3,simhash64,success,https://www.canararobeco.com/
cats.census.gov.in,2379aef9ebfed51f,simhash64,success,https://cats.census.gov.in/bi-security-login/login.jsp;jsessionid=rwLk1A004ytepdiQMmnrPqSLBAAGuZPxVIblc-NJTw8g6KotnHQZ!-990805096?msi=false&mt=false&profileMust=true&redirect=L2R2L3VpL2hvbWUuanNwP2hhc2g9YzRrVkZISzFqb2hvRmV1SzliRFpzUW1Bc2J6ZXg4VFNHcVFqajhxcVlfTTNOWFJWNDB4UW5zMnF5WXdtTzYwRA==
census-test.census.gov.in,,simhash64,fetch_failed,http://census-test.census.gov.in
census.gov.in,3107daa62588a7c7,simhash64,success,https://census.gov.in
censusindia.gov.in,,simhash64,fetch_failed,http://censusindia.gov.in
censussahayak.census.gov.in,,simhash64,fetch_failed,http://censussahayak.census.gov.in
chandigarh.census.gov.in,,simhash64,fetch_failed,http://chandigarh.census.gov.in
cloud.gov.in,5f5d0ce827066a37,simhash64,success,https://cloud.gov.in/user/
coalindia.in,,simhash64,fetch_failed,http://coalindia.in
coalindiatenders.nic.in,1898f96c049bfe86,simhash64,success,https://coalindiatenders.nic.in
contents.tdscpc.gov.in,6fbfb15e4c664e0b,simhash64,success,https://traces61contents.tdscpc.gov.in/
corp.onlinesbi.sbi,73d191ee13014637,simhash64,success,https://corp.sbi.bank.in/
crsorgi.gov.in,c9427e923c01805d,simhash64,success,https://dc.crsorgi.gov.in/
dc.crsorgi.gov.in,c9427e923c01805d,simhash64,success,https://dc.crsorgi.gov.in
dchb.census.gov.in,36d96b52bfa67667,simhash64,success,https://dchb.census.gov.in
dev-api.census.gov.in,,simhash64,fetch_failed,http://dev-api.census.gov.in
dev.crsorgi.gov.in,c9427e923c01805d,simhash64,success,https://dev.crsorgi.gov.in
devtran.census.gov.in,342046a695811b5a,simhash64,success,https://devtran.census.gov.in/CDAC-EnhanceTransliterationAPI/index.html
eci.gov.in,0a4dd006d0fa5777,simhash64,success,https://www.eci.gov.in/
epurti.census.gov.in,f7285fa0e66e8990,simhash64,success,https://epurti.census.gov.in
failover.census.gov.in,,simhash64,fetch_failed,http://failover.census.gov.in
geoportal.census.gov.in,,simhash64,fetch_failed,http://geoportal.census.gov.in
gujarat.census.gov.in,ce61a82526a897f4,simhash64,success,https://gujarat.census.gov.in
haryana.census.gov.in,aa4b2b70e51abebb,simhash64,success,https://haryana.census.gov.in
hdfc.bank.in,e0f9aa7904e2e221,simhash64,success,https://www.hdfc.bank.in/
hdfc.com,9ff90bdee8c402a3,simhash64,success,https://homeloans.hdfc.bank.in/
hdfcfund.com,fa701aad4d80cba2,simhash64,success,https://www.hdfcfund.com/
hdfclife.com,2dde0a9cb0c21234,simhash64,success,https://www.hdfclife.com/
homeloans.sbi,b7c2177a05c0d6f3,simhash64,success,https://homeloans.sbi/redirect.html
icici.bank.in,,simhash64,fetch_failed,http://icici.bank.in
icicicareers.com,,simhash64,fetch_failed,http://icicicareers.com
icicidirect.com,7eea69de1da26bc3,simhash64,success,https://icicidirect.com
icicilombard.com,0804ec38d8ff570d,simhash64,success,https://www.icicilombard.com
iciciprulife.com,0821f83edd36754d,simhash64,success,https://www.iciciprulife.com/
icicisecurities.com,6e17b04aa723ef18,simhash64,success,https://icicisecurities.com
idfcfirst.bank.in,28f9184508766ea3,simhash64,success,https://www.idfcfirst.bank.in/
idfcfirstbank.com,28f9184508766ea3,simhash64,success,https://www.idfcfirst.bank.in/
iirs.gov.in,,simhash64,fetch_failed,http://iirs.gov.in
incometax.gov.in,,simhash64,fetch_failed,http://incometax.gov.in
incometaxindia.gov.in,6f9f551dd6bd6b19,simhash64,success,https://www.incometaxindia.gov.in/
incometaxindiaefiling.gov.in,,simhash64,fetch_failed,http://incometaxindiaefiling.gov.in
indianoilcgd.com,,simhash64,fetch_failed,http://indianoilcgd.com
indiascienceandtechnology.gov.in,bf06720ed7f9e93d,simhash64,success,https://www.indiascienceandtechnology.gov.in/
indusind.bank.in,0af887dcd2c66237,simhash64,success,https://www.indusind.bank.in/
infiniti.icicibank.com,,simhash64,fetch_failed,http://infiniti.icicibank.com
infrandc.census.gov.in,,simhash64,fetch_failed,http://infrandc.census.gov.in
intranet.census.gov.in,7145894c3ba97706,simhash64,success,https://intranet.census.gov.in
iocl.com,c74d9d85a53f6cf7,simhash64,success,https://iocl.com
irctc.co.in,,simhash64,fetch_failed,http://irctc.co.in
irctctourism.com,7ab94aae04da633b,simhash64,success,https://irctctourism.com
isro.gov.in,,simhash64,fetch_failed,http://isro.gov.in
jharkhand.census.gov.in,be7a5b76c4961ebf,simhash64,success,https://jharkhand.census.gov.in
jio.com,bedc0b61d68842aa,simhash64,success,https://www.jio.com/
karnataka.census.gov.in,eb1e8904f6831a5e,simhash64,success,https://karnataka.census.gov.in
kavach.mail.gov.in,,simhash64,fetch_failed,http://kavach.mail.gov.in
kfintech.com,4e7d205865262fb3,simhash64,success,https://kfintech.com
language.census.gov.in,ad634bb6ac26df10,simhash64,success,https://language.census.gov.in/showHomePage
load.census.gov.in,,simhash64,fetch_failed,http://load.census.gov.in
maharashtra.census.gov.in,dd87c8168f69da55,simhash64,success,https://maharashtra.census.gov.in
map.census.gov.in,8d024a74cf0c193a,simhash64,success,https://map.census.gov.in/portal/home/
mp.census.gov.in,ea1850e7d93defd3,simhash64,success,https://mp.census.gov.in
myvi.in,6e954a6b1dda62fa,simhash64,success,https://www.myvi.in/
netbanking.hdfcbank.com,4068a7dfa9d1e3b0,simhash64,success,https://now.hdfc.bank.in/retail-app/
netpnb.com,67cc0d520c4063e7,simhash64,success,https://netpnb.com
nha.gov.in,fdeff7ecfdffbff9,simhash64,success,https://nha.gov.in
nic.gov.in,6e5a096a56e07ebb,simhash64,success,https://www.nic.gov.in
npr.gov.in,,simhash64,fetch_failed,http://npr.gov.in
nrsc.gov.in,,simhash64,fetch_failed,http://nrsc.gov.in
odisha.census.gov.in,bad6882d559b6720,simhash64,success,https://odisha.census.gov.in
onlinecasa.bankofbaroda.com,b8cb1bdb8dcd83fb,simhash64,success,https://onlinecasa.bankofbaroda.com
onlinesbi.sbi.bank.in,73d191ee13014637,simhash64,success,https://onlinesbi.sbi.bank.in
orgi-sparrow.gov.in,b95f8cf936fe40dd,simhash64,success,https://parichay.nic.in/pnv1/assets/index.html?sid=SPARROWORGI&path=
parivahan.gov.in,742fcec69fa02671,simhash64,success,https://parivahan.gov.in
pbr.census.gov.in,,simhash64,fetch_failed,http://pbr.census.gov.in
pnb.bank.in,3e9df912ad126b2f,simhash64,success,https://pnb.bank.in
pnbindia.in,3e9df912ad126b2f,simhash64,success,https://pnb.bank.in/
pnbint.com,,simhash64,fetch_failed,http://pnbint.com
portal.bsnl.in,fdffff7ecd7bbfff,simhash64,success,https://portal.bsnl.in
prod.census.gov.in,,simhash64,fetch_failed,http://prod.census.gov.in
punjab.census.gov.in,954f5a48c61ebeb2,simhash64,success,https://punjab.census.gov.in
rajasthan.census.gov.in,22f8adb8b582d923,simhash64,success,https://rajasthan.census.gov.in
rbi.org.in,39784be6dd4606b1,simhash64,success,https://rbi.org.in
rebit.org.in,3e7d09df7ccf42b5,simhash64,success,https://rebit.org.in
retail.sbi.bank.in,73d191ee13014637,simhash64,success,https://retail.sbi.bank.in
retailnetbanking.icici.bank.in,797de5cb4d2957f8,simhash64,success,https://retailnetbanking.icici.bank.in
sac.gov.in,,simhash64,fetch_failed,http://sac.gov.in
sbi.bank.in,3dba204680606221,simhash64,success,https://sbi.bank.in
sbi.co.in,68ca53c1dbe4569e,simhash64,success,https://sbi.co.in/redirect/
sbicard.com,c8ac87ee5c0f7223,simhash64,success,https://www.sbicard.com/
sbilife.co.in,2f9c0ee0708333b3,simhash64,success,https://www.sbilife.co.in/
sbimf.com,3b7b0283c990f3e2,simhash64,success,https://www.sbimf.com/
sbisecurities.in,afedd0b754eb7e5a,simhash64,success,https://www.sbisecurities.in/
se.census.gov.in,,simhash64,fetch_failed,http://se.census.gov.in
se.npr.gov.in,,simhash64,fetch_failed,http://se.npr.gov.in
sedel.census.gov.in,,simhash64,fetch_failed,http://sedel.census.gov.in
srs.census.gov.in,894d02b685ca3e02,simhash64,success,https://srs.census.gov.in/Srs/Account
test.census.gov.in,3107daa62588a7c7,simhash64,success,https://test.census.gov.in
tn.census.gov.in,432d0833d6aa121e,simhash64,success,https://tn.census.gov.in
tracker.census.gov.in,,simhash64,fetch_failed,http://tracker.census.gov.in
tran.census.gov.in,342046a695811b5a,simhash64,success,https://tran.census.gov.in/CDAC-EnhanceTransliterationAPI/index.html
uat-api.census.gov.in,,simhash64,fetch_failed,http://uat-api.census.gov.in
uat.crsorgi.gov.in,c9427e923c01805d,simhash64,success,https://uat.crsorgi.gov.in
uatbooks.census.gov.in,9172b4e1f266453d,simhash64,success,https://uatbooks.census.gov.in
uatcensusindia.gov.in,,simhash64,fetch_failed,http://uatcensusindia.gov.in
uatcrsapi.census.gov.in,,simhash64,fetch_failed,http://uatcrsapi.census.gov.in
uatdco.census.gov.in,7b2c91781d2ce8f7,simhash64,success,https://uatdco.census.gov.in
uatsrs.census.gov.in,,simhash64,fetch_failed,http://uatsrs.census.gov.in
uidai.gov.in,bd2b692d9d6ff67a,simhash64,success,https://uidai.gov.in
vaptapi.census.gov.in,,simhash64,fetch_failed,http://vaptapi.census.gov.in
vs_cmms.census.gov.in,,simhash64,fetch_failed,http://vs_cmms.census.gov.in
vssc.gov.in,58ac2d3aac426a23,simhash64,success,https://www.vssc.gov.in/
westbengal.census.gov.in,bdefb666c71a6fe6,simhash64,success,https://westbengal.census.gov.in
